_ j	イ
_ k	ン
_ o	ウ
_ n	ノ
_ l	カ
s j	シ
d j	ト
s n	ニ
_ i	タ
d n	ク
_ ,	、
v j	ガ
_ m	ハ
_ p	テ
w j	コ
d k	ナ
s o	ス
f k	ル
f j	ッ
c n	デ
v l	キ
_ u	。
v k	ツ
v n	リ
v o	マ
f n	ヲ
w k	サ
f l	ラ
s k	モ
d l	オ
e l	セ
s l	ア
e j	レ
f o	ー
x l	ケ
c l	ダ
c k	チ
e n	ジ
d i	ヨ
c j	ド
e k	エ
r j	ソ
w l	メ
g n	ネ
x j	ショ
s m	ミ
g j	ホ
v i	ワ
r l	バ
d o	ヤ
w i	ロ
r n	ブ
w o	ゴ
e i	シュ
v m	フ
w n	ヒ
_ h	・
r i	ジョ
e u	ム
x n	ゲ
s i	キョ
w m	グ
x k	シャ
v p	」
g m	「
f i	テイル
f p	ビ
d m	ズ
g k	ザ
r k	ヘ
x o	ギ
c i	リョ
sd j	ジュ
g i	チョ
fd j	ベ
g u	ユ
g l	ゼ
w p	プ
ds i	ボ
c o	ゾ
e p	パ
ds j	ポ
f u	チュ
x i	マシタ
d p	トイウ
g o	イマス
s u	キュ
v u	ギョ
r o	デアル
e o	サレタ
w u	ニュ
r m	『
c m	』
c u	ヒョ
s p	ピ
c p	ヅ
x p	（
x m	）
df j	チャ
ds n	キャ
fe j	ペ
r p	ジャ
d u	ョ
e m	ティ
ef j	ディ
x u	リュ
g p	ュ
sd k	ヌ
f m	ャ
sd l	チェ
sd h	ヰ
fe p	ヱ
